TITLE,PRICE,STATUS,REVIEWS,LINK
Celular Motorola Xt2331-1 - Moto G13 Se - 128gb  Azul Difus,$208.9995% OFF,,,https://articulo.mercadolibre.com.ar/MLA-1496204414-celular-motorola-xt2331-1-moto-g13-se-128gb-azul-difus-_JM?searchVariation=178658333344#searchVariation=178658333344&position=15&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G 13,$210.000,,,https://articulo.mercadolibre.com.ar/MLA-1623922568-moto-g-13-_JM?searchVariation=179635424750#searchVariation=179635424750&position=48&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 Dual SIM 128 GB  azul difuso 4 GB RAM,$211.05521% OFF,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-dual-sim-128-gb-azul-difuso-4-gb-ram/p/MLA22271351?pdp_filters=category:MLA1055#searchVariation=MLA22271351&position=2&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Moto G13 Se 128 Gb Azul Difuso 4 Gb Ram,$211.05521% OFF,,,https://articulo.mercadolibre.com.ar/MLA-1632893582-celular-moto-g13-se-128-gb-azul-difuso-4-gb-ram-_JM?searchVariation=179699895252#searchVariation=179699895252&position=21&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
El Moto G13 128gb 4ram ,$215.000,,,https://articulo.mercadolibre.com.ar/MLA-1640856584-el-moto-g13-128gb-4ram-_JM?searchVariation=179751930504#searchVariation=179751930504&position=24&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 64 GB  gris oxford 4 GB RAM,$216.633,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-64-gb-gris-oxford-4-gb-ram/p/MLA22271344?pdp_filters=category:MLA1055#searchVariation=MLA22271344&position=1&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola Moto G13 4gb Ram 128gb 6.5''- Gris,$219.998,,,https://articulo.mercadolibre.com.ar/MLA-1401394923-celular-motorola-moto-g13-4gb-ram-128gb-65-gris-_JM?searchVariation=181330580823#searchVariation=181330580823&position=22&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola Moto G13 4gb Ram 128gb 6.5''- Rosa,$219.998,,,https://articulo.mercadolibre.com.ar/MLA-1401356001-celular-motorola-moto-g13-4gb-ram-128gb-65-rosa-_JM?searchVariation=181330519283#searchVariation=181330519283&position=9&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 64 GB  rose gold 4 GB RAM,$229.9998% OFF,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-64-gb-rose-gold-4-gb-ram/p/MLA22271345?pdp_filters=category:MLA1055#searchVariation=MLA22271345&position=7&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Motorola Moto G13 - Azul difuso - 128 GB - 4 GB,$230.250,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/motorola-moto-g13-azul-difuso-128-gb-4-gb/p/MLA22271343?pdp_filters=category:MLA1055#searchVariation=MLA22271343&position=5&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 Gris 128 Gb 4 Gb,$237.000,,,https://articulo.mercadolibre.com.ar/MLA-1402981603-moto-g13-gris-128-gb-4-gb-_JM?searchVariation=179709888788#searchVariation=179709888788&position=43&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola G13 Dual Sim 128/4gb Azul Accesorio Regalo,$237.99917% OFF,,5.0,https://articulo.mercadolibre.com.ar/MLA-1428040088-celular-motorola-g13-dual-sim-1284gb-azul-accesorio-regalo-_JM?searchVariation=177884366452#searchVariation=177884366452&position=18&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 128 GB  rose gold 4 GB RAM,$239.999,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-128-gb-rose-gold-4-gb-ram/p/MLA22271347?pdp_filters=category:MLA1055#searchVariation=MLA22271347&position=3&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
